prediction_id,timestamp,match_date,league,home_team,away_team,recommended_market,recommendation,confidence,signal_clarity,ml_prediction,ml_confidence,upset_risk,risk_level,debate_triggered,verdict_type,market_value,actual_result,correct,result_timestamp,notes
赫根_加尔斯_2026-04-19,2026-04-28T13:11:05.323242,2026-04-19T14:30:00Z,瑞典超级联赛,赫根,加尔斯,让球盘,BK Hacken -0.50,50.0,,,0,0,,,,0,pending,,,
萨尔普斯堡_Tromso_2026-04-19,2026-04-28T13:11:05.338793,2026-04-19T15:00:00Z,挪威超级联赛,萨尔普斯堡,Tromso,让球盘,谨慎或放弃,30,,,0,0,,,,0,pending,,,
萨尔普斯堡_特罗姆瑟_2026-04-19,2026-04-28T13:11:05.338880,2026-04-19T15:00:00Z,挪威超级联赛,萨尔普斯堡,特罗姆瑟,让球盘,谨慎或放弃,30,,,0,0,,,,0,pending,,,
斯特拉斯堡_雷恩_2026-04-19,2026-04-28T13:11:05.340092,2026-04-19T15:15:00Z,法国甲级联赛,斯特拉斯堡,雷恩,让球盘,谨慎或放弃,45.6,,,0,0,,,,0,pending,,,
拜仁慕尼黑_斯图加特_2026-04-19,2026-04-28T13:11:05.323989,2026-04-19T15:30:00Z,德国甲级联赛,拜仁慕尼黑,斯图加特,让球盘,Bayern Munich -1.50,75.6,,,0,0,,,,0,pending,,,
曼城_阿森纳_2026-04-19,2026-04-28T13:11:05.332369,2026-04-19T15:30:00Z,英格兰超级联赛,曼城,阿森纳,让球盘,Manchester City -0.50,59.2,,,0,0,,,,0,pending,,,
Pisa_热那亚_2026-04-19,2026-04-28T13:11:05.335988,2026-04-19T16:00:00Z,意大利甲级联赛,Pisa,热那亚,让球盘,谨慎或放弃,30,,,0,0,,,,0,pending,,,
Sporting Lisbon_本菲卡_2026-04-19,2026-04-28T13:11:05.339211,2026-04-19T17:00:00Z,葡萄牙超级联赛,Sporting Lisbon,本菲卡,让球盘,谨慎或放弃,35.7,,,0,0,,,,0,pending,,,
葡萄牙体育_本菲卡_2026-04-19,2026-04-28T13:11:05.339305,2026-04-19T17:00:00Z,葡萄牙超级联赛,葡萄牙体育,本菲卡,让球盘,谨慎或放弃,35.7,,,0,0,,,,0,pending,,,
门兴格拉德巴赫_美因茨_2026-04-19,2026-04-28T13:11:05.324601,2026-04-19T17:30:00Z,德国甲级联赛,门兴格拉德巴赫,美因茨,大小球,大球 2.5球,44.3,,,0,0,,,,0,pending,,,
尤文图斯_博洛尼亚_2026-04-19,2026-04-28T13:11:05.331153,2026-04-19T18:45:00Z,意大利甲级联赛,尤文图斯,博洛尼亚,让球盘,Juventus -1.25,75.5,,,0,0,,,,0,pending,,,
巴黎圣日耳曼_里昂_2026-04-19,2026-04-28T13:11:05.335797,2026-04-19T18:45:00Z,法国甲级联赛,巴黎圣日耳曼,里昂,让球盘,Paris Saint Germain -1.75,50.0,,,0,0,,,,0,pending,,,
布拉加_Famalicão_2026-04-19,2026-04-28T13:11:05.324902,2026-04-19T19:30:00Z,葡萄牙超级联赛,布拉加,Famalicão,让球盘,谨慎或放弃,51.8,,,0,0,,,,0,pending,,,
布拉加_法马利康_2026-04-19,2026-04-28T13:11:05.325016,2026-04-19T19:30:00Z,葡萄牙超级联赛,布拉加,法马利康,让球盘,谨慎或放弃,39.6,,,0,0,,,,0,pending,,,
洛杉矶FC_圣何塞地震_2026-04-19,2026-04-28T13:11:05.331821,2026-04-19T23:00:00Z,美国职业足球大联盟,洛杉矶FC,圣何塞地震,让球盘,Los Angeles FC -0.75,58.7,,,0,0,,,,0,pending,,,
莱切_佛罗伦萨_2026-04-20,2026-04-28T13:11:05.331500,2026-04-20T18:45:00Z,意大利甲级联赛,莱切,佛罗伦萨,让球盘,谨慎或放弃,30,,,0,0,,,,0,pending,,,
敦刻尔克_拉瓦勒_2026-04-20,2026-04-28T13:11:05.341217,2026-04-20T18:45:00Z,法国乙级联赛,敦刻尔克,拉瓦勒,让球盘,谨慎或放弃,33.1,,,0,0,,,,0,pending,,,
水晶宫_西汉姆_2026-04-20,2026-04-28T13:11:05.325886,2026-04-20T19:00:00Z,英格兰超级联赛,水晶宫,西汉姆,让球盘,谨慎或放弃,30,,,0,0,,,,0,pending,,,
摩里伦斯_埃斯托里尔_2026-04-20,2026-04-28T13:11:05.332984,2026-04-20T19:15:00Z,葡萄牙超级联赛,摩里伦斯,埃斯托里尔,让球盘,谨慎或放弃,30,,,0,0,,,,0,pending,,,
全北现代_仁川联_2026-04-21,2026-04-28T13:11:05.330663,2026-04-21T10:30:00Z,韩国K联赛,全北现代,仁川联,让球盘,Jeonbuk Hyundai Motors -0.50,49.8,,,0,0,,,,0,pending,,,
金泉尙午_江原FC_2026-04-21,2026-04-28T13:11:05.338690,2026-04-21T10:30:00Z,韩国K联赛,金泉尙午,江原FC,让球盘,谨慎或放弃,30,,,0,0,,,,0,pending,,,
毕尔巴鄂竞技_奥萨苏纳_2026-04-21,2026-04-28T13:11:05.322320,2026-04-21T17:00:00Z,西班牙甲级联赛,毕尔巴鄂竞技,奥萨苏纳,让球盘,Athletic Bilbao -0.50,50.9,,,0,0,,,,0,pending,,,
马略卡_瓦伦西亚_2026-04-21,2026-04-28T13:11:05.332032,2026-04-21T17:00:00Z,西班牙甲级联赛,马略卡,瓦伦西亚,让球盘,谨慎或放弃,31.2,,,0,0,,,,0,pending,,,
牛津联_雷克瑟姆_2026-04-21,2026-04-28T13:11:05.334754,2026-04-21T18:45:00Z,英格兰冠军联赛,牛津联,雷克瑟姆,让球盘,谨慎或放弃,30,,,0,0,,,,0,pending,,,
南安普顿_Bristol City_2026-04-21,2026-04-28T13:11:05.339070,2026-04-21T18:45:00Z,英格兰冠军联赛,南安普顿,Bristol City,让球盘,谨慎或放弃,30,,,0,0,,,,0,pending,,,
